 weather
-7.6 
0.8 
2.9 
7.0 
12.3 
19.1 
26.1 
27.5 
26.0 
16.0 
11.4 
7.2 
-6.8 
-0.2 
0.5 
9.1 
12.5 
18.0 
25.1 
25.6 
27.0 
12.7 
16.1 
5.8 
-3.0 
-12.8 
8.7
4.6
22.6
21.4
21.6
30.8
25.2
18.1
5.6
-0.9
-4.7 
7.3
0.8
9.2
13.2
21.7
27.1
28.0
23.5
21.6
14.8
4.5
4.0 
4.9
6.0
15.6
16.0
24.7
26.0 
30.2
24.1
19.2
17.3
-1.1
-7.7 
-3.0
2.4
12.9
21.0
21.7
23.7
28.2
25.9
16.3 
7.0 
4.0 
1.2 
-6.0 
-2.7 
15.3 
18.8 
23.3 
24.0 
28.4 
23.2 
21.1 
1.5 
4.1 
2.7 
-4.0 
5.0 
9.0 
20.1 
23.3 
25.3 
28.6 
