values
1730859
1524612
1766712
1732698
1791750
1890549
1948695
1863071
1692245
1797367
1812111
1856456
2027806
1450945
2006951
1963910
2023458
2071214
2007941
2071772
1836594
1930773
1941776
1949644
1949204
1919147
2103664
2021745
2179530
2227357
2167462
2249681
2214415
1982855
2150078
1931910
2338371
1826812
2115859
2211666
2272595
2173437
2369979
2310038
1989422
2329110
2129722
2111222
2312651
1918315
2253303
2423125
2428432
2325012
2541255
2352303
2094096
2446477
2155904
2225431
2387315
2023410
2391242
2426128
2379324
2580879
2649621
2399274
2403870
2482065
2354911
2477504
2589581
2161311
2658883
2583168
2717901
2775786
2785058
2879211
2668419
2785343
2781804
2694662
2713197
2557191
3017640
2835805
2965115
3026141
3090643
3059726
